DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
30-Jun-2026,EQ,"2,980.00","3,054.60","2,969.00","2,962.50","3,040.00","3,036.00","3,017.28","3,105.00","1,753.00","20,99,291","6,33,41,59,095.00","64,972"
29-Jun-2026,EQ,"3,020.00","3,020.00","2,955.00","3,038.00","2,970.00","2,962.50","2,972.81","3,105.00","1,753.00","16,93,354","5,03,40,23,392.70","66,890"
25-Jun-2026,EQ,"3,086.00","3,105.00","3,027.70","3,069.70","3,040.30","3,038.00","3,067.40","3,105.00","1,753.00","17,19,600","5,27,46,94,922.60","77,905"
24-Jun-2026,EQ,"2,988.30","3,077.80","2,971.00","2,962.90","3,068.00","3,069.70","3,031.87","3,091.70","1,753.00","25,27,812","7,66,40,06,181.30","96,795"
23-Jun-2026,EQ,"3,072.00","3,091.70","2,943.50","3,059.60","2,964.60","2,962.90","3,009.36","3,091.70","1,753.00","16,20,658","4,87,71,39,182.30","68,733"
22-Jun-2026,EQ,"3,040.00","3,065.00","3,001.00","3,038.40","3,060.00","3,059.60","3,037.74","3,065.00","1,753.00","17,26,452","5,24,45,14,124.10","57,462"
19-Jun-2026,EQ,"3,017.00","3,051.90","3,009.10","3,013.40","3,030.00","3,038.40","3,034.70","3,059.80","1,753.00","36,20,222","10,98,62,83,617.00","91,842"
18-Jun-2026,EQ,"2,952.00","3,041.00","2,938.00","2,951.90","3,032.00","3,013.40","2,977.29","3,059.80","1,753.00","17,74,394","5,28,28,80,314.10","57,576"
17-Jun-2026,EQ,"2,958.00","2,974.50","2,934.60","2,943.60","2,948.90","2,951.90","2,951.39","3,059.80","1,753.00","12,44,567","3,67,32,07,810.40","43,394"
16-Jun-2026,EQ,"2,971.40","2,997.70","2,928.30","2,942.50","2,943.80","2,943.60","2,962.58","3,059.80","1,753.00","18,51,843","5,48,62,27,434.10","64,897"
